k	q	M	tau	zeta/q
0.100000	1.500	0.000	1.000	1.94220e+00-3.76535e-02j
0.100000	1.562	0.000	1.000	1.91674e+00-3.55100e-02j
0.100000	1.625	0.000	1.000	-1.89450e+00-3.48693e-02j
0.100000	1.688	0.000	1.000	-1.87531e+00-3.53885e-02j
0.100000	1.750	0.000	1.000	-1.85896e+00-3.67154e-02j
0.100000	1.812	0.000	1.000	1.84525e+00-3.84907e-02j
0.100000	1.875	0.000	1.000	1.83395e+00-4.03641e-02j
0.100000	1.937	0.000	1.000	1.82474e+00-4.20250e-02j
0.100000	2.000	0.000	1.000	1.81728e+00-4.32374e-02j
0.100000	2.062	0.000	1.000	1.81118e+00-4.38615e-02j
0.100000	2.125	0.000	1.000	1.80611e+00-4.38534e-02j
0.100000	2.188	0.000	1.000	2.83429e+00+6.49143e-03j
0.100000	2.250	0.000	1.000	1.79793e+00-4.21070e-02j
0.100000	2.312	0.000	1.000	1.79441e+00-4.05400e-02j
0.100000	2.375	0.000	1.000	1.79110e+00-3.86403e-02j
0.100000	2.438	0.000	1.000	1.78791e+00-3.64986e-02j
0.100000	2.500	0.000	1.000	1.78478e+00-3.41947e-02j
0.100000	2.562	0.000	1.000	1.78169e+00-3.17965e-02j
0.100000	2.625	0.000	1.000	1.77860e+00-2.93603e-02j
0.100000	2.688	0.000	1.000	1.77552e+00-2.69325e-02j
0.100000	2.750	0.000	1.000	1.77244e+00-2.45501e-02j
0.100000	2.812	0.000	1.000	1.76936e+00-2.22426e-02j
0.100000	2.875	0.000	1.000	1.76629e+00-2.00328e-02j
0.100000	2.938	0.000	1.000	1.76323e+00-1.79376e-02j
0.100000	3.000	0.000	1.000	1.76019e+00-1.59691e-02j
